strategy,node,latency
random,EdgeNode,285.28594332264
random,CloudNode,34.569925810746874
random,EdgeNode,185.2158194749524
random,EdgeNode,385.25315295721066
random,EdgeNode,459.2283489309029
random,CloudNode,123.89289898443343
random,CloudNode,58.39510293454555
random,EdgeNode,443.8218938324151
random,CloudNode,76.33694141789474
random,CloudNode,70.49924943765687
random,CloudNode,52.015078969995734
random,CloudNode,74.5557669939725
random,CloudNode,61.99109234627349
random,CloudNode,115.98784350357215
random,EdgeNode,494.6460789657269
random,CloudNode,96.38891797979934
random,EdgeNode,144.64267367023936
random,CloudNode,133.56054897036563
random,EdgeNode,244.19599519841677
random,EdgeNode,408.2264134678797
random,EdgeNode,491.2991260720663
random,EdgeNode,93.23535740473665
random,EdgeNode,208.55004388682244
random,CloudNode,61.74060257197863
random,EdgeNode,419.43620916357617
random,CloudNode,65.61768604165756
random,EdgeNode,209.5154555758249
random,CloudNode,57.211702847699655
random,CloudNode,87.17948561320254
random,EdgeNode,394.5949832020776
random,EdgeNode,79.91426778805331
random,CloudNode,84.26563156947341
random,EdgeNode,348.9057231136652
random,EdgeNode,385.3669202908179
random,CloudNode,145.50259328727302
random,EdgeNode,402.06700416059175
random,EdgeNode,361.10158330496427
random,CloudNode,52.3127164935774
random,EdgeNode,343.4140511945896
random,EdgeNode,473.30559706377676
random,CloudNode,58.245392923840654
random,CloudNode,42.19595989893901
random,EdgeNode,229.48338256059478
random,EdgeNode,406.0255465298585
random,CloudNode,118.60285638618085
random,EdgeNode,398.54215454183344
random,EdgeNode,207.29334509848556
random,EdgeNode,55.92149074418601
random,EdgeNode,76.1955599875631
random,EdgeNode,481.17632594674575
random,CloudNode,46.08673312333238
random,EdgeNode,376.0313779365889
random,EdgeNode,418.58725264988783
random,CloudNode,114.01230388450426
random,EdgeNode,271.30973444497016
random,EdgeNode,99.37326921078727
random,EdgeNode,247.16102827204037
random,EdgeNode,394.4586006125473
random,CloudNode,92.57711776726133
random,CloudNode,124.33248118034496
random,EdgeNode,485.77376705313924
random,EdgeNode,394.13077238278674
random,CloudNode,142.8013033961914
random,EdgeNode,456.5745691223379
random,CloudNode,123.302140667351
random,CloudNode,88.66150550572951
random,CloudNode,136.15024318998763
random,EdgeNode,370.8336240195502
random,EdgeNode,250.11873082106064
random,CloudNode,56.55687513183071
random,CloudNode,134.251551387515
random,EdgeNode,259.3097637594321
random,EdgeNode,409.1675958300992
random,EdgeNode,216.79543058671882
random,EdgeNode,186.83821252604534
random,EdgeNode,455.56835728980536
random,CloudNode,59.04126150453294
random,CloudNode,143.3717068849895
random,CloudNode,75.27450345031812
random,EdgeNode,259.6093583521192
random,CloudNode,85.42243363073828
random,EdgeNode,386.44861916717105
random,CloudNode,148.7026082537763
random,EdgeNode,187.9721163486829
random,EdgeNode,306.98987437432345
random,CloudNode,99.48300734920969
random,EdgeNode,345.06082040836606
random,CloudNode,115.5462599096813
random,EdgeNode,279.1011163730008
random,CloudNode,101.3188149252691
random,CloudNode,111.50636131933098
random,EdgeNode,451.0209919901365
random,EdgeNode,238.68795663058407
random,CloudNode,73.51804424583347
random,CloudNode,51.07618042427785
random,CloudNode,70.46883691061032
random,CloudNode,33.864387210818535
random,CloudNode,62.670392636037924
random,EdgeNode,377.9678136513328
random,EdgeNode,176.3147477912689
rule,EdgeNode,341.71128482837895
rule,EdgeNode,85.05322210025022
rule,EdgeNode,86.78727968972595
rule,EdgeNode,255.10972764561794
rule,EdgeNode,277.45062142434267
rule,EdgeNode,445.1876807603508
rule,CloudNode,112.36972730710912
rule,CloudNode,113.9859256452394
rule,EdgeNode,204.25227435526816
rule,EdgeNode,464.7753328792702
rule,EdgeNode,149.4578797986765
rule,EdgeNode,433.0543187729674
rule,EdgeNode,100.61781116088638
rule,CloudNode,117.65066231623834
rule,CloudNode,135.45324397625222
rule,CloudNode,141.76188443678026
rule,CloudNode,97.63809055916107
rule,CloudNode,94.40138911574604
rule,EdgeNode,217.1254930111056
rule,EdgeNode,262.16729959807424
rule,EdgeNode,160.9887353331265
rule,EdgeNode,179.78071025702405
rule,CloudNode,127.86616039431405
rule,CloudNode,121.85815731426156
rule,EdgeNode,65.78857657644923
rule,EdgeNode,267.5843797606383
rule,CloudNode,124.27391084071118
rule,EdgeNode,80.93900796026632
rule,CloudNode,96.30096079207952
rule,EdgeNode,389.6676757402284
rule,CloudNode,116.70244356517718
rule,CloudNode,130.98521460153813
rule,CloudNode,91.4713447553272
rule,EdgeNode,256.95893228765425
rule,EdgeNode,142.35562928729124
rule,EdgeNode,134.9422123390526
rule,EdgeNode,168.5551379545747
rule,EdgeNode,178.04981327620797
rule,CloudNode,133.37450817063626
rule,EdgeNode,106.59580986762991
rule,CloudNode,109.52845462453473
rule,CloudNode,113.19771274325755
rule,EdgeNode,195.00939557898164
rule,CloudNode,128.34733827905532
rule,CloudNode,142.13066001782389
rule,CloudNode,115.99307334808682
rule,EdgeNode,335.4492908525906
rule,EdgeNode,407.9215862739126
rule,CloudNode,118.4013075819685
rule,CloudNode,92.19914843599028
rule,EdgeNode,229.75709941607377
rule,EdgeNode,148.4107754631111
rule,CloudNode,123.05749234909986
rule,EdgeNode,167.9480635104281
rule,EdgeNode,138.52803820777993
rule,EdgeNode,248.1454930268168
rule,EdgeNode,252.43278005174702
rule,CloudNode,102.02720236822539
rule,EdgeNode,293.9712065287999
rule,EdgeNode,473.9092059521043
rule,EdgeNode,208.2193082712672
rule,CloudNode,143.78701206067308
rule,EdgeNode,330.8266994139834
rule,EdgeNode,328.2679393339236
rule,CloudNode,103.11347541812951
rule,EdgeNode,136.23151549924998
rule,CloudNode,85.11633413591763
rule,EdgeNode,56.568488834905104
rule,EdgeNode,182.2734377101087
rule,EdgeNode,169.39982413695984
rule,CloudNode,130.0952715627147
rule,EdgeNode,211.5385705555249
rule,EdgeNode,210.9537816509965
rule,CloudNode,88.81368987793192
rule,EdgeNode,209.80271234462182
rule,CloudNode,141.3751782777449
rule,EdgeNode,240.76906719363012
rule,EdgeNode,275.0787071404013
rule,EdgeNode,144.15627800184035
rule,EdgeNode,64.24782409943242
rule,EdgeNode,332.44997564071537
rule,CloudNode,85.60491469117414
rule,CloudNode,105.36847475505644
rule,CloudNode,93.67695112704864
rule,EdgeNode,410.8974965759586
rule,EdgeNode,121.34885230668036
rule,CloudNode,115.59476957502793
rule,CloudNode,129.6643052647022
rule,EdgeNode,246.2602969661228
rule,CloudNode,140.52775414244832
rule,CloudNode,98.27672555789087
rule,CloudNode,147.584035759477
rule,CloudNode,133.68288635716542
rule,CloudNode,92.96564343395384
rule,CloudNode,133.6165526091084
rule,CloudNode,142.71802071019613
rule,EdgeNode,142.08115382497851
rule,CloudNode,119.63613987773101
rule,CloudNode,123.80022874656177
rule,CloudNode,117.98095440801433
